Year,ID,Spp,Length,Weight,Spine,Sex,Date,Comment,AgeCon,KeyAge,Discharge,Gage.Height,First.Date,LenCat,logtl,logwt,gcat,Ws,Wr,Discharge_cent
2017,84,CCF,528,1226,Y,NA,07/29/2017,83,8,8,180.3,NA,7/28/2018,520,2.722633922533812,3.0884904701823963,quality,1473.5203594683576,83.20210793981413,-0.6088476529324222
2017,85,CCF,580,1652,Y,NA,07/29/2017,84,8,8,180.3,NA,7/28/2018,580,2.7634279935629373,3.218010042984363,quality,2007.8525236094222,82.2769591180072,-0.6088476529324222
2017,86,CCF,564,1580,Y,NA,07/29/2017,85,7,7,180.3,NA,7/28/2018,560,2.751279103983342,3.1986570869544226,quality,1831.1055059821847,86.28667189510227,-0.6088476529324222
2017,87,CCF,545,1404,Y,NA,07/29/2017,86,8,8,180.3,NA,7/28/2018,540,2.7363965022766426,3.1473671077937864,quality,1635.6488720734064,85.83749385161376,-0.6088476529324222
2017,88,CCF,498,1039,Y,NA,07/29/2017,87,7,7,180.3,NA,7/28/2018,490,2.6972293427597176,3.016615547557177,quality,1215.2718970921198,85.49527085141193,-0.6088476529324222
2017,92,CCF,518,1145,Y,NA,07/29/2017,88,7,7,180.3,NA,7/28/2018,510,2.714329759745233,3.0588054866759067,quality,1383.5734788203315,82.75671784170471,-0.6088476529324222
2017,94,CCF,452,755,Y,NA,07/29/2017,89,5,5,180.3,NA,7/28/2018,450,2.655138434811382,2.8779469516291885,quality,883.1327782134275,85.49110831639163,-0.6088476529324222
2017,96,CCF,459,756,Y,NA,07/29/2017,90,5,5,180.3,NA,7/28/2018,450,2.661812685537261,2.8785217955012063,quality,928.9898867382084,81.37871152229698,-0.6088476529324222
2017,97,CCF,480,838,Y,NA,07/29/2017,91,6,6,180.3,NA,7/28/2018,480,2.681241237375587,2.9232440186302764,quality,1076.4866192776133,77.84583523781727,-0.6088476529324222
2017,98,CCF,517,1107,Y,NA,07/29/2017,92,7,7,180.3,NA,7/28/2018,510,2.7134905430939424,3.044147620878723,quality,1374.7946991795927,80.521113491389,-0.6088476529324222
2017,99,CCF,490,890,Y,NA,07/29/2017,93,6,6,180.3,NA,7/28/2018,490,2.690196080028514,2.949390006644913,quality,1152.1416789959683,77.24744414902071,-0.6088476529324222
2017,101,CCF,472,753,Y,NA,07/29/2017,94,7,7,180.3,NA,7/28/2018,470,2.673941998634088,2.8767949762007006,quality,1018.5091700922771,73.93158766864887,-0.6088476529324222
2017,103,CCF,422,557,Y,NA,07/29/2017,95,6,6,180.3,NA,7/28/2018,420,2.625312450961674,2.745855195173729,quality,704.3349083098005,79.08169727617766,-0.6088476529324222
2017,104,CCF,528,1240,Y,NA,07/29/2017,96,7,7,180.3,NA,7/28/2018,520,2.722633922533812,3.093421685162235,quality,1473.5203594683576,84.1522135769735,-0.6088476529324222
2017,105,CCF,590,1931,Y,NA,07/29/2017,97,8,8,180.3,NA,7/28/2018,590,2.7708520116421442,3.285782273779395,quality,2124.1565760497315,90.90666958228934,-0.6088476529324222
2017,106,CCF,636,2186,Y,NA,07/29/2017,98,10,10,180.3,NA,7/28/2018,630,2.803457115648414,3.339650157613684,preferred,2720.1179662022596,80.36416167097423,-0.6088476529324222
2017,107,CCF,395,443,Y,NA,07/29/2017,99,8,8,180.3,NA,7/28/2018,390,2.59659709562646,2.6464037262230695,stock,566.4881544676572,78.2011056199927,-0.6088476529324222
2017,109,CCF,514,1218,Y,NA,07/29/2017,100,6,6,180.3,NA,7/28/2018,510,2.710963118995276,3.0856472882968564,quality,1348.6911694440357,90.30977792359167,-0.6088476529324222
2017,111,CCF,432,598,Y,NA,07/29/2017,101,7,7,180.3,NA,7/28/2018,430,2.635483746814912,2.776701183988411,quality,760.8227003887032,78.5991269312131,-0.6088476529324222
2017,112,CCF,524,1045,Y,NA,07/29/2017,102,9,9,180.3,NA,7/28/2018,520,2.7193312869837265,3.019116290447073,quality,1437.0678031524224,72.71751532583478,-0.6088476529324222
2017,115,CCF,476,821,Y,NA,07/29/2017,103,6,6,180.3,NA,7/28/2018,470,2.677606952720493,2.9143431571194407,quality,1047.218491492205,78.39815727758386,-0.6088476529324222
2017,116,CCF,596,1966,Y,NA,07/29/2017,104,9,9,180.3,NA,7/28/2018,590,2.7752462597402365,3.2935835134961167,quality,2196.145852882537,89.52046592987162,-0.6088476529324222
2017,117,CCF,770,4360,Y,NA,07/29/2017,105,13,13,180.3,NA,7/28/2018,770,2.886490725172482,3.639486489268586,memorable,5106.2308921145195,85.38587643447707,-0.6088476529324222
2017,118,CCF,446,756,Y,NA,07/29/2017,106,6,6,180.3,NA,7/28/2018,440,2.649334858712142,2.8785217955012063,quality,845.1017958716817,89.45667891052373,-0.6088476529324222
2017,119,CCF,486,931,Y,NA,07/29/2017,107,7,7,180.3,NA,7/28/2018,480,2.6866362692622934,2.9689496809813427,quality,1121.4498855492236,83.0175304306218,-0.6088476529324222
2017,120,CCF,589,1778,Y,NA,07/29/2017,108,9,9,180.3,NA,7/28/2018,580,2.7701152947871015,3.249931756634195,quality,2112.3203402577215,84.17283903932244,-0.6088476529324222
2017,123,CCF,429,635,Y,NA,07/29/2017,109,5,5,180.3,NA,7/28/2018,420,2.6324572921847245,2.8027737252919755,quality,743.5570923473815,85.40030167627467,-0.6088476529324222
2017,124,CCF,405,459,Y,NA,07/29/2017,110,6,6,180.3,NA,7/28/2018,400,2.6074550232146687,2.661812685537261,stock,615.1157488954884,74.62010212292364,-0.6088476529324222
2017,126,CCF,512,1049,Y,NA,07/29/2017,111,6,6,180.3,NA,7/28/2018,510,2.709269960975831,3.020775488193558,quality,1331.4818521257828,78.78440087825567,-0.6088476529324222
2017,127,CCF,634,2064,Y,NA,07/29/2017,112,8,8,180.3,NA,7/28/2018,630,2.802089257881733,3.314709692955174,preferred,2692.0431417619857,76.67039090053656,-0.6088476529324222
2017,128,CCF,389,467,Y,NA,07/29/2017,113,NA,7,180.3,NA,7/28/2018,380,2.5899496013257077,2.6693168805661123,stock,538.6342765907945,86.70075787894656,-0.6088476529324222
2017,129,CCF,636,2666,Y,NA,07/29/2017,114,NA,10,180.3,NA,7/28/2018,630,2.803457115648414,3.4258601450778405,preferred,2720.1179662022596,98.0104551760372,-0.6088476529324222
2017,130,CCF,408,577,Y,NA,07/29/2017,115,5,5,180.3,NA,7/28/2018,400,2.61066016308988,2.7611758131557314,stock,630.2525002406261,91.5506086496611,-0.6088476529324222
2017,132,CCF,345,330,Y,NA,07/29/2017,116,4,4,180.3,NA,7/28/2018,340,2.537819095073274,2.5185139398778875,stock,362.7238388952247,90.97830487378658,-0.6088476529324222
2017,133,CCF,760,4039,Y,NA,07/29/2017,117,12,12,180.3,NA,7/28/2018,760,2.8808135922807914,3.6062738531699883,memorable,4891.026016866943,82.57981016807743,-0.6088476529324222
2017,134,CCF,662,2420,Y,NA,07/29/2017,118,10,10,180.3,NA,7/28/2018,660,2.8208579894397,3.383815365980431,preferred,3103.8892530806443,77.96669928213848,-0.6088476529324222
2017,135,CCF,725,3586,Y,NA,07/29/2017,119,16,16,180.3,NA,7/28/2018,720,2.8603380065709936,3.554610285226164,memorable,4187.48624656622,85.63610215891588,-0.6088476529324222
2017,93,CCF,502,1136,N,NA,07/29/2017,NA,NA,6,180.3,NA,7/28/2018,500,2.7007037171450192,3.055378331375,quality,1247.722607882657,91.04587773140966,-0.6088476529324222
2017,95,CCF,505,1040,N,NA,07/29/2017,NA,NA,7,180.3,NA,7/28/2018,500,2.7032913781186614,3.0170333392987803,quality,1272.4531451767257,81.73188961355106,-0.6088476529324222
2017,121,CCF,508,1208,N,NA,07/29/2017,NA,NA,7,180.3,NA,7/28/2018,500,2.7058637122839193,3.082066934285113,quality,1297.52300996265,93.10046840978744,-0.6088476529324222
2017,131,CCF,509,1400,N,NA,07/29/2017,NA,NA,7,180.3,NA,7/28/2018,500,2.7067177823367587,3.146128035678238,quality,1305.955488772686,107.20120341281275,-0.6088476529324222
2017,110,CCF,530,1160,N,NA,07/29/2017,NA,NA,6,180.3,NA,7/28/2018,530,2.724275869600789,3.0644579892269186,quality,1491.9858849021584,77.74872481960983,-0.6088476529324222
2017,113,CCF,530,1105,N,NA,07/29/2017,NA,NA,6,180.3,NA,7/28/2018,530,2.724275869600789,3.0433622780211294,quality,1491.9858849021584,74.06236286695594,-0.6088476529324222
2017,100,CCF,531,1266,N,NA,07/29/2017,NA,NA,7,180.3,NA,7/28/2018,530,2.725094521081469,3.1024337056813365,quality,1501.278802074731,84.32810736089917,-0.6088476529324222
2017,102,CCF,531,1192,N,NA,07/29/2017,NA,NA,7,180.3,NA,7/28/2018,530,2.725094521081469,3.076276255404218,quality,1501.278802074731,79.39897628293191,-0.6088476529324222
2017,122,CCF,533,1201,N,NA,07/29/2017,NA,NA,6,180.3,NA,7/28/2018,530,2.7267272090265724,3.079543007402906,quality,1519.985435424468,79.01391500271917,-0.6088476529324222
2017,125,CCF,533,1288,N,NA,07/29/2017,NA,NA,8,180.3,NA,7/28/2018,530,2.7267272090265724,3.1099158630237933,quality,1519.985435424468,84.73765405787034,-0.6088476529324222
2017,114,CCF,535,1378,N,NA,07/29/2017,NA,NA,8,180.3,NA,7/28/2018,530,2.7283537820212285,3.139249217571607,quality,1538.8537882042488,89.54716884493908,-0.6088476529324222
2017,63,CCF,537,1255,N,NA,07/29/2017,NA,NA,7,180.3,NA,7/28/2018,530,2.7299742856995555,3.098643725817057,quality,1557.8846460805878,80.55795422064132,-0.6088476529324222
2017,89,CCF,541,1275,N,NA,07/29/2017,NA,NA,7,180.3,NA,7/28/2018,540,2.7331972651065692,3.1055101847699738,quality,1596.4370241066272,79.86534894563067,-0.6088476529324222
2017,90,CCF,542,1334,N,NA,07/29/2017,NA,NA,8,180.3,NA,7/28/2018,540,2.733999286538387,3.12515582958053,quality,1606.177914295292,83.05431099052873,-0.6088476529324222
2017,91,CCF,555,1200,N,NA,07/29/2017,NA,NA,6,180.3,NA,7/28/2018,550,2.7442929831226763,3.0791812460476247,quality,1736.6051571691341,69.1003360807783,-0.6088476529324222
2017,108,CCF,568,1564,N,NA,07/29/2017,NA,NA,8,180.3,NA,7/28/2018,560,2.754348335711019,3.1942367487238292,quality,1874.232298764767,83.44750013276216,-0.6088476529324222
2018,1704,CCF,512,1307,Y,NA,07/29/2018,298,NA,9,630,5.49,7/27/2018,510,2.709269960975831,3.116275587580544,quality,1331.4818521257828,98.16130786261216,0.1194020938803653
2018,1705,CCF,407,550,Y,NA,07/29/2018,297,5,5,630,5.49,7/27/2018,400,2.60959440922522,2.7403626894942437,stock,625.178427805614,87.97488453504523,0.1194020938803653
2018,1706,CCF,570,2029,Y,NA,07/29/2018,295,7,7,630,5.49,7/27/2018,570,2.7558748556724915,3.307282047033346,quality,1896.0586828455953,107.0114558350529,0.1194020938803653
2018,1707,CCF,457,850,Y,NA,07/29/2018,294,5,5,630,5.49,7/27/2018,450,2.6599162000698504,2.929418925714293,quality,915.7226639711766,92.82286367292038,0.1194020938803653
2018,1708,CCF,543,1572,Y,NA,07/29/2018,293,10,10,630,5.49,7/27/2018,540,2.734799829588847,3.196452541703389,quality,1615.9601199001581,97.27962841664223,0.1194020938803653
2018,1709,CCF,512,1285,Y,NA,07/29/2018,292,7,7,630,5.49,7/27/2018,510,2.709269960975831,3.1089031276673134,quality,1331.4818521257828,96.50901346859726,0.1194020938803653
2018,1710,CCF,557,1847,Y,NA,07/29/2018,291,10,10,630,5.49,7/27/2018,550,2.745855195173729,3.2664668954402414,quality,1757.3044666303476,105.10415440652949,0.1194020938803653
2018,1711,CCF,641,2788,Y,NA,07/29/2018,290,10,10,630,5.49,7/27/2018,640,2.8068580295188172,3.4452927694259716,preferred,2791.196097510608,99.8854936235595,0.1194020938803653
2018,1712,CCF,308,272,Y,NA,07/29/2018,289,3,3,630,5.49,7/27/2018,300,2.4885507165004443,2.4345689040341987,stock,249.62384024831724,108.96395141162148,0.1194020938803653
2018,1713,CCF,625,2567,Y,NA,07/29/2018,288,11,11,630,5.49,7/27/2018,620,2.7958800173440754,3.4094258686714434,preferred,2568.1996185428993,99.95328951323573,0.1194020938803653
2018,1714,CCF,627,2364,Y,NA,07/29/2018,287,11,11,630,5.49,7/27/2018,620,2.7972675408307164,3.3736474722092176,preferred,2595.3699952114725,91.08527895296791,0.1194020938803653
2018,1715,CCF,594,1908,Y,NA,07/29/2018,286,9,9,630,5.49,7/27/2018,590,2.7737864449811935,3.2805783703680764,quality,2171.9636357274712,87.84677462433389,0.1194020938803653
2018,1716,CCF,540,1703,Y,NA,07/29/2018,285,8,8,630,5.49,7/27/2018,540,2.7323937598229686,3.231214647962601,quality,1586.7373507222906,107.32715148003456,0.1194020938803653
2018,1717,CCF,551,1793,Y,NA,07/29/2018,284,10,10,630,5.49,7/27/2018,550,2.741151598851785,3.253580289562183,quality,1695.7169707711787,105.73698505739308,0.1194020938803653
2018,1718,CCF,580,2139,Y,NA,07/29/2018,283,8,8,630,5.49,7/27/2018,580,2.7634279935629373,3.330210784571528,quality,2007.8525236094222,106.53172854323086,0.1194020938803653
2018,1719,CCF,748,5435,Y,NA,07/29/2018,282,13,13,630,5.49,7/27/2018,740,2.8739015978644615,3.7351995484223135,memorable,4641.216882901949,117.10290936892682,0.1194020938803653
2018,1720,CCF,550,1364,Y,NA,07/29/2018,281,7,7,630,5.49,7/27/2018,550,2.7403626894942437,3.13481437032046,quality,1685.6006854033615,80.92070748497572,0.1194020938803653
2018,1721,CCF,640,2568,Y,NA,07/29/2018,280,13,13,630,5.49,7/27/2018,640,2.806179973983887,3.4095950193968156,preferred,2776.878220770073,92.47794810706004,0.1194020938803653
